OID,FID_1,Field1,category,id,latitude,longitude,general_ca,FID_2,label,altname,name,code,centroid_x,centroid_y
141,359,363,french,kyDsukC9YP5aM97WajnO_g,51.5128446,-0.1940695,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
142,361,365,french,ZcGU3juh_1LyTA7buusgbg,51.4941285,-0.1689765,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
143,362,366,french,LdTb02WLHa9eh6Xk3e-tIw,51.492889,-0.1570822,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
144,366,370,french,8J7LgFLz2UPT2k5xcHpfDw,51.49741588,-0.162391663,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
145,368,372,french,xJjs-4CTVJmsiGoTcBTEqA,51.4908879,-0.1833444,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
146,373,377,french,dn8fH7NsLzBijfWrZ9_Djw,51.502055,-0.188298,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
147,374,378,french,KF23IECBankB1dE2wyih5A,51.5068433,-0.2072533,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
148,378,382,french,kSblI7p1RXKoUiifNBOgnA,51.52264786,-0.207705006,French,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
149,380,384,spanish,XkAwS7fh17t2NByUzM-VPg,51.49071555,-0.183670756,European_Other,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
150,382,386,spanish,q_tusdGaa20AEQNfpJoW4A,51.4909847,-0.1839378,European_Other,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
151,383,387,spanish,VUH8CQe3GazQKtDIxCNixQ,51.49074774,-0.183624457,European_Other,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
152,384,388,spanish,PWJiVG6QUm8P2aLJke1Ndw,51.5067595,-0.2072507,European_Other,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
153,385,389,spanish,QBW7NfRURYLOVSAYp4mMpw,51.51659461,-0.205446482,European_Other,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
